Apple Scab Leaf 0.0080 134 170 206 361
Squash Powdery mildew leaf 0.0017 224 0 269 80
Squash Powdery mildew leaf 0.0017 297 250 391 407
Squash Powdery mildew leaf 0.0017 248 206 373 337
Squash Powdery mildew leaf 0.0017 407 13 416 88
Squash Powdery mildew leaf 0.0016 214 0 258 25
Squash Powdery mildew leaf 0.0016 194 171 358 295
Squash Powdery mildew leaf 0.0016 267 82 407 197
Squash Powdery mildew leaf 0.0015 253 113 299 150
Squash Powdery mildew leaf 0.0015 373 44 415 129
Squash Powdery mildew leaf 0.0015 377 102 414 199
Squash Powdery mildew leaf 0.0015 395 81 415 219
Squash Powdery mildew leaf 0.0015 0 22 217 401
Squash Powdery mildew leaf 0.0015 25 0 258 103
Squash Powdery mildew leaf 0.0014 302 343 383 416
Squash Powdery mildew leaf 0.0014 237 0 283 24
Squash Powdery mildew leaf 0.0014 209 201 282 391
Squash Powdery mildew leaf 0.0014 245 9 285 97
Squash Powdery mildew leaf 0.0014 210 0 286 49
Squash Powdery mildew leaf 0.0014 1 0 47 147
Squash Powdery mildew leaf 0.0013 144 303 272 417
Squash Powdery mildew leaf 0.0012 365 60 414 244
Squash Powdery mildew leaf 0.0012 6 0 82 20
Squash Powdery mildew leaf 0.0012 315 198 410 361
Squash Powdery mildew leaf 0.0012 0 93 19 242
Squash Powdery mildew leaf 0.0012 222 90 304 242
Squash Powdery mildew leaf 0.0012 364 204 416 385
Squash Powdery mildew leaf 0.0012 -3 -1 79 46
Squash Powdery mildew leaf 0.0012 1 45 47 257
Squash Powdery mildew leaf 0.0012 336 85 415 156
Squash Powdery mildew leaf 0.0011 -1 278 21 411
Squash Powdery mildew leaf 0.0011 301 315 387 377
Squash Powdery mildew leaf 0.0011 396 240 416 383
Squash Powdery mildew leaf 0.0010 351 336 394 414
Squash Powdery mildew leaf 0.0010 0 223 78 402
Squash Powdery mildew leaf 0.0010 87 176 203 301
Squash Powdery mildew leaf 0.0010 232 117 320 188
Squash Powdery mildew leaf 0.0010 341 272 377 349
Squash Powdery mildew leaf 0.0010 292 378 341 414
Squash Powdery mildew leaf 0.0010 183 310 364 418
Tomato Septoria leaf spot 0.0166 373 -1 415 58
grape leaf 0.0010 409 392 416 415
