Corn leaf blight 0.0023 312 219 411 439
Tomato leaf yellow virus 0.0212 59 131 90 201
Tomato leaf yellow virus 0.0165 326 144 366 222
Tomato leaf yellow virus 0.0158 245 246 285 301
Tomato leaf yellow virus 0.0152 159 0 218 27
Tomato leaf yellow virus 0.0126 166 37 200 105
Tomato leaf yellow virus 0.0119 305 172 381 331
Tomato leaf yellow virus 0.0119 58 82 124 217
Tomato leaf yellow virus 0.0108 243 148 264 182
Tomato leaf yellow virus 0.0101 26 168 73 207
Tomato leaf yellow virus 0.0093 293 0 364 77
Tomato leaf yellow virus 0.0092 312 120 377 252
Tomato leaf yellow virus 0.0089 354 171 377 208
Tomato leaf yellow virus 0.0088 62 128 86 168
Tomato leaf yellow virus 0.0087 266 171 306 207
Tomato leaf yellow virus 0.0081 246 177 289 250
Tomato leaf yellow virus 0.0079 176 237 220 318
Tomato leaf yellow virus 0.0077 187 293 223 325
Tomato leaf yellow virus 0.0070 320 223 364 307
Tomato leaf yellow virus 0.0066 212 279 252 337
Tomato leaf yellow virus 0.0063 319 121 362 190
Tomato leaf yellow virus 0.0061 243 75 313 223
Tomato leaf yellow virus 0.0060 94 152 117 188
Tomato leaf yellow virus 0.0056 314 140 337 185
Tomato leaf yellow virus 0.0053 232 158 301 210
Tomato leaf yellow virus 0.0051 126 221 175 345
Tomato leaf yellow virus 0.0051 293 336 334 415
Tomato leaf yellow virus 0.0045 127 50 187 130
Tomato leaf yellow virus 0.0045 233 178 272 211
Tomato leaf yellow virus 0.0044 200 254 218 300
Tomato leaf yellow virus 0.0043 57 123 123 184
Tomato leaf yellow virus 0.0041 286 200 344 253
Tomato leaf yellow virus 0.0040 133 30 179 173
Tomato leaf yellow virus 0.0040 188 40 216 80
Tomato leaf yellow virus 0.0039 216 188 272 307
Tomato leaf yellow virus 0.0039 231 150 302 283
Tomato leaf yellow virus 0.0039 32 1 111 46
Tomato leaf yellow virus 0.0039 130 167 167 204
Tomato leaf yellow virus 0.0038 229 200 301 267
Tomato leaf yellow virus 0.0036 193 260 234 333
Tomato leaf yellow virus 0.0035 313 168 333 208
Tomato leaf yellow virus 0.0035 278 110 318 191
Tomato leaf yellow virus 0.0035 305 198 347 297
Tomato leaf yellow virus 0.0034 228 232 270 269
Tomato leaf yellow virus 0.0034 96 0 136 3
Tomato leaf yellow virus 0.0033 211 0 243 4
Tomato leaf yellow virus 0.0033 294 248 416 425
Tomato leaf yellow virus 0.0031 305 200 331 240
Tomato leaf yellow virus 0.0031 117 0 221 44
Tomato leaf yellow virus 0.0029 88 159 148 214
Tomato leaf yellow virus 0.0029 337 157 386 302
Tomato leaf yellow virus 0.0029 358 177 380 228
Tomato leaf yellow virus 0.0028 141 0 202 22
Tomato leaf yellow virus 0.0028 84 0 146 7
Tomato leaf yellow virus 0.0028 338 145 380 227
Tomato leaf yellow virus 0.0027 234 124 300 178
Tomato leaf yellow virus 0.0026 297 163 338 239
Tomato leaf yellow virus 0.0026 215 235 257 319
Tomato leaf yellow virus 0.0025 234 131 251 166
Tomato leaf yellow virus 0.0024 268 145 315 182
Tomato leaf yellow virus 0.0024 239 154 277 186
Tomato leaf yellow virus 0.0023 186 87 217 110
Tomato leaf yellow virus 0.0023 86 164 124 228
Tomato leaf yellow virus 0.0022 298 138 351 289
Tomato leaf yellow virus 0.0022 136 115 159 164
Tomato leaf yellow virus 0.0022 252 139 299 172
Tomato leaf yellow virus 0.0021 169 155 208 215
Tomato leaf yellow virus 0.0021 127 164 146 207
Tomato leaf yellow virus 0.0020 307 178 382 246
Tomato leaf yellow virus 0.0020 237 173 364 316
Tomato leaf yellow virus 0.0020 298 411 333 416
Tomato leaf yellow virus 0.0020 87 156 113 199
Tomato leaf yellow virus 0.0020 331 166 351 207
Tomato leaf yellow virus 0.0020 137 0 205 9
Tomato leaf yellow virus 0.0020 261 123 322 240
Tomato leaf yellow virus 0.0020 354 184 387 273
Tomato leaf yellow virus 0.0019 258 121 328 182
Tomato leaf yellow virus 0.0019 221 282 247 315
Tomato leaf yellow virus 0.0018 247 202 291 236
Tomato leaf yellow virus 0.0018 292 220 329 304
Tomato leaf yellow virus 0.0018 159 4 240 66
Tomato leaf yellow virus 0.0017 70 179 132 323
Tomato leaf yellow virus 0.0017 240 134 282 202
Tomato leaf yellow virus 0.0017 253 141 333 295
Tomato leaf yellow virus 0.0017 198 0 256 9
Tomato leaf yellow virus 0.0017 284 80 338 191
Tomato leaf yellow virus 0.0016 68 142 114 217
Tomato leaf yellow virus 0.0016 22 198 85 255
Tomato leaf yellow virus 0.0016 69 0 130 21
Tomato leaf yellow virus 0.0016 297 243 356 414
Tomato leaf yellow virus 0.0016 282 83 319 156
Tomato leaf yellow virus 0.0015 237 361 315 417
Tomato leaf yellow virus 0.0015 86 147 124 182
Tomato leaf yellow virus 0.0015 343 208 383 247
Tomato leaf yellow virus 0.0015 180 2 276 42
Tomato leaf yellow virus 0.0015 329 126 350 170
Tomato leaf yellow virus 0.0014 213 168 283 227
Tomato leaf yellow virus 0.0014 216 250 280 300
Tomato leaf yellow virus 0.0014 76 -1 221 83
Tomato leaf yellow virus 0.0014 100 78 141 161
Tomato leaf yellow virus 0.0014 306 262 350 354
Tomato leaf yellow virus 0.0014 164 186 222 310
Tomato leaf yellow virus 0.0014 299 391 347 415
Tomato leaf yellow virus 0.0013 289 405 343 416
Tomato leaf yellow virus 0.0013 190 92 216 105
Tomato leaf yellow virus 0.0013 167 46 191 87
Tomato leaf yellow virus 0.0013 212 18 272 125
Tomato leaf yellow virus 0.0013 339 221 376 304
Tomato leaf yellow virus 0.0012 150 0 192 3
Tomato leaf yellow virus 0.0012 163 74 209 197
Tomato leaf yellow virus 0.0012 32 155 108 212
Tomato leaf yellow virus 0.0012 333 167 378 207
Tomato leaf yellow virus 0.0012 277 190 314 273
Tomato leaf yellow virus 0.0012 92 22 139 66
Tomato leaf yellow virus 0.0012 171 224 217 263
Tomato leaf yellow virus 0.0011 52 0 130 8
Tomato leaf yellow virus 0.0011 154 0 236 10
Tomato leaf yellow virus 0.0011 278 195 352 333
Tomato leaf yellow virus 0.0011 278 262 354 325
Tomato leaf yellow virus 0.0011 106 159 144 186
Tomato leaf yellow virus 0.0011 245 155 261 175
Tomato leaf yellow virus 0.0010 407 137 415 221
Tomato leaf yellow virus 0.0010 218 311 322 417
Tomato leaf yellow virus 0.0010 174 127 200 181
Tomato leaf yellow virus 0.0010 112 0 151 3
Tomato leaf yellow virus 0.0010 319 126 342 170
Tomato leaf yellow virus 0.0010 198 268 260 330
Tomato leaf yellow virus 0.0010 252 184 334 244
Tomato leaf yellow virus 0.0010 292 300 336 386
Tomato leaf yellow virus 0.0010 311 280 351 320
Tomato leaf yellow virus 0.0010 24 174 47 215
