Corn leaf blight 0.0053 9 6 405 407
Tomato leaf yellow virus 0.0933 156 100 174 146
Tomato leaf yellow virus 0.0925 113 168 135 208
Tomato leaf yellow virus 0.0906 119 393 157 415
Tomato leaf yellow virus 0.0892 383 101 407 145
Tomato leaf yellow virus 0.0884 258 148 288 213
Tomato leaf yellow virus 0.0861 236 86 256 115
Tomato leaf yellow virus 0.0814 358 103 370 126
Tomato leaf yellow virus 0.0795 178 137 198 175
Tomato leaf yellow virus 0.0790 155 97 184 166
Tomato leaf yellow virus 0.0772 225 260 248 302
Tomato leaf yellow virus 0.0727 290 118 306 158
Tomato leaf yellow virus 0.0713 172 114 201 188
Tomato leaf yellow virus 0.0685 72 182 93 223
Tomato leaf yellow virus 0.0673 282 176 305 215
Tomato leaf yellow virus 0.0667 157 58 174 109
Tomato leaf yellow virus 0.0647 281 372 302 417
Tomato leaf yellow virus 0.0642 283 71 300 110
Tomato leaf yellow virus 0.0569 220 140 254 198
Tomato leaf yellow virus 0.0568 257 36 275 80
Tomato leaf yellow virus 0.0561 345 66 365 116
Tomato leaf yellow virus 0.0548 292 163 332 228
Tomato leaf yellow virus 0.0548 107 108 127 140
Tomato leaf yellow virus 0.0535 221 262 236 302
Tomato leaf yellow virus 0.0520 295 162 319 198
Tomato leaf yellow virus 0.0511 208 195 230 241
Tomato leaf yellow virus 0.0510 59 136 91 201
Tomato leaf yellow virus 0.0504 223 253 261 305
Tomato leaf yellow virus 0.0497 203 263 222 302
Tomato leaf yellow virus 0.0497 234 36 267 99
Tomato leaf yellow virus 0.0496 220 105 232 127
Tomato leaf yellow virus 0.0471 163 178 182 214
Tomato leaf yellow virus 0.0470 128 103 150 143
Tomato leaf yellow virus 0.0468 17 143 38 186
Tomato leaf yellow virus 0.0462 198 7 237 44
Tomato leaf yellow virus 0.0461 204 102 232 168
Tomato leaf yellow virus 0.0461 265 129 283 145
Tomato leaf yellow virus 0.0459 0 317 22 399
Tomato leaf yellow virus 0.0451 79 126 101 167
Tomato leaf yellow virus 0.0440 289 179 309 224
Tomato leaf yellow virus 0.0430 179 114 195 164
Tomato leaf yellow virus 0.0418 153 322 173 355
Tomato leaf yellow virus 0.0410 29 146 55 182
Tomato leaf yellow virus 0.0399 251 38 269 82
Tomato leaf yellow virus 0.0393 88 325 111 372
Tomato leaf yellow virus 0.0386 150 169 173 218
Tomato leaf yellow virus 0.0382 31 187 53 216
Tomato leaf yellow virus 0.0381 73 317 110 397
Tomato leaf yellow virus 0.0380 226 316 270 374
Tomato leaf yellow virus 0.0380 169 93 186 153
Tomato leaf yellow virus 0.0374 228 146 248 184
Tomato leaf yellow virus 0.0362 264 70 281 113
Tomato leaf yellow virus 0.0361 177 282 195 300
Tomato leaf yellow virus 0.0352 73 122 109 182
Tomato leaf yellow virus 0.0350 23 299 46 316
Tomato leaf yellow virus 0.0348 312 113 331 154
Tomato leaf yellow virus 0.0345 164 115 179 162
Tomato leaf yellow virus 0.0332 372 105 390 139
Tomato leaf yellow virus 0.0331 56 406 79 415
Tomato leaf yellow virus 0.0319 351 110 375 150
Tomato leaf yellow virus 0.0316 178 34 213 103
Tomato leaf yellow virus 0.0315 409 127 416 151
Tomato leaf yellow virus 0.0314 410 134 416 159
Tomato leaf yellow virus 0.0313 248 214 268 269
Tomato leaf yellow virus 0.0311 -1 405 9 415
Tomato leaf yellow virus 0.0308 287 169 312 207
Tomato leaf yellow virus 0.0307 311 183 333 224
Tomato leaf yellow virus 0.0306 267 94 282 138
Tomato leaf yellow virus 0.0303 210 137 226 174
Tomato leaf yellow virus 0.0294 261 123 277 143
Tomato leaf yellow virus 0.0293 56 164 92 226
Tomato leaf yellow virus 0.0292 168 175 187 216
Tomato leaf yellow virus 0.0290 175 25 198 80
Tomato leaf yellow virus 0.0282 118 146 142 196
Tomato leaf yellow virus 0.0275 240 149 259 205
Tomato leaf yellow virus 0.0275 288 118 298 145
Tomato leaf yellow virus 0.0274 67 174 88 217
Tomato leaf yellow virus 0.0272 305 44 326 89
Tomato leaf yellow virus 0.0268 293 118 303 145
Tomato leaf yellow virus 0.0267 -1 250 22 284
Tomato leaf yellow virus 0.0267 126 407 152 415
Tomato leaf yellow virus 0.0262 243 290 262 308
Tomato leaf yellow virus 0.0259 221 240 235 262
Tomato leaf yellow virus 0.0258 0 305 12 360
Tomato leaf yellow virus 0.0255 202 111 219 167
Tomato leaf yellow virus 0.0254 335 360 358 398
Tomato leaf yellow virus 0.0245 215 105 227 128
Tomato leaf yellow virus 0.0245 -1 308 36 376
Tomato leaf yellow virus 0.0245 216 108 235 152
Tomato leaf yellow virus 0.0244 198 18 232 90
Tomato leaf yellow virus 0.0244 111 111 133 151
Tomato leaf yellow virus 0.0241 408 119 415 145
Tomato leaf yellow virus 0.0241 404 98 416 151
Tomato leaf yellow virus 0.0240 351 142 377 199
Tomato leaf yellow virus 0.0234 361 103 380 143
Tomato leaf yellow virus 0.0231 244 95 257 118
Tomato leaf yellow virus 0.0230 226 30 243 72
Tomato leaf yellow virus 0.0225 155 56 184 150
Tomato leaf yellow virus 0.0219 232 127 251 167
Tomato leaf yellow virus 0.0214 218 207 235 247
Tomato leaf yellow virus 0.0209 167 98 197 171
Tomato leaf yellow virus 0.0208 128 148 151 193
Tomato leaf yellow virus 0.0207 250 89 270 124
Tomato leaf yellow virus 0.0205 98 141 118 185
Tomato leaf yellow virus 0.0205 207 198 218 225
Tomato leaf yellow virus 0.0205 264 187 285 221
Tomato leaf yellow virus 0.0197 74 134 94 176
Tomato leaf yellow virus 0.0194 228 121 246 158
Tomato leaf yellow virus 0.0193 194 172 215 202
Tomato leaf yellow virus 0.0185 0 408 22 416
Tomato leaf yellow virus 0.0181 386 122 411 154
Tomato leaf yellow virus 0.0180 246 55 259 79
Tomato leaf yellow virus 0.0177 203 32 222 83
Tomato leaf yellow virus 0.0176 380 111 394 133
Tomato leaf yellow virus 0.0175 262 86 274 112
Tomato leaf yellow virus 0.0175 268 111 280 136
Tomato leaf yellow virus 0.0174 173 138 189 174
Tomato leaf yellow virus 0.0172 149 103 164 144
Tomato leaf yellow virus 0.0171 236 100 268 130
Tomato leaf yellow virus 0.0170 16 250 37 267
Tomato leaf yellow virus 0.0169 56 398 79 415
Tomato leaf yellow virus 0.0169 115 268 135 286
Tomato leaf yellow virus 0.0168 175 144 185 168
Tomato leaf yellow virus 0.0166 109 161 140 231
Tomato leaf yellow virus 0.0166 300 107 331 163
Tomato leaf yellow virus 0.0164 265 328 289 368
Tomato leaf yellow virus 0.0162 19 401 69 416
Tomato leaf yellow virus 0.0159 89 166 110 207
Tomato leaf yellow virus 0.0159 259 107 279 141
Tomato leaf yellow virus 0.0158 295 98 305 117
Tomato leaf yellow virus 0.0158 172 113 188 163
Tomato leaf yellow virus 0.0156 224 153 247 202
Tomato leaf yellow virus 0.0153 93 374 120 419
Tomato leaf yellow virus 0.0152 225 322 297 397
Tomato leaf yellow virus 0.0151 405 118 417 159
Tomato leaf yellow virus 0.0151 240 29 261 73
Tomato leaf yellow virus 0.0150 195 112 213 166
Tomato leaf yellow virus 0.0148 196 192 212 245
Tomato leaf yellow virus 0.0148 167 147 197 217
Tomato leaf yellow virus 0.0147 250 115 268 131
Tomato leaf yellow virus 0.0147 205 175 221 196
Tomato leaf yellow virus 0.0145 409 109 415 139
Tomato leaf yellow virus 0.0144 47 402 86 416
Tomato leaf yellow virus 0.0143 64 143 85 185
Tomato leaf yellow virus 0.0143 293 69 305 96
Tomato leaf yellow virus 0.0142 266 363 303 415
Tomato leaf yellow virus 0.0142 286 24 312 65
Tomato leaf yellow virus 0.0141 6 410 34 416
Tomato leaf yellow virus 0.0140 375 111 387 134
Tomato leaf yellow virus 0.0138 346 86 366 129
Tomato leaf yellow virus 0.0138 309 90 321 109
Tomato leaf yellow virus 0.0138 147 261 166 291
Tomato leaf yellow virus 0.0137 249 199 269 243
Tomato leaf yellow virus 0.0137 111 403 154 416
Tomato leaf yellow virus 0.0137 239 369 276 406
Tomato leaf yellow virus 0.0136 4 199 41 258
Tomato leaf yellow virus 0.0135 342 92 380 178
Tomato leaf yellow virus 0.0134 300 162 317 182
Tomato leaf yellow virus 0.0134 82 155 102 189
Tomato leaf yellow virus 0.0133 290 32 331 105
Tomato leaf yellow virus 0.0133 107 355 126 401
Tomato leaf yellow virus 0.0133 186 121 202 172
Tomato leaf yellow virus 0.0131 257 189 280 233
Tomato leaf yellow virus 0.0130 313 6 331 63
Tomato leaf yellow virus 0.0130 195 52 213 99
Tomato leaf yellow virus 0.0129 231 128 243 150
Tomato leaf yellow virus 0.0127 237 209 253 248
Tomato leaf yellow virus 0.0127 6 252 45 279
Tomato leaf yellow virus 0.0126 308 14 336 91
Tomato leaf yellow virus 0.0126 235 265 252 285
Tomato leaf yellow virus 0.0125 286 77 297 104
Tomato leaf yellow virus 0.0125 213 37 224 64
Tomato leaf yellow virus 0.0123 262 114 275 134
Tomato leaf yellow virus 0.0123 243 107 260 126
Tomato leaf yellow virus 0.0120 136 101 156 144
Tomato leaf yellow virus 0.0120 127 2 177 137
Tomato leaf yellow virus 0.0119 197 153 232 211
Tomato leaf yellow virus 0.0118 270 102 280 129
Tomato leaf yellow virus 0.0118 0 180 24 249
Tomato leaf yellow virus 0.0116 341 35 360 83
Tomato leaf yellow virus 0.0116 228 117 257 192
Tomato leaf yellow virus 0.0115 117 176 142 213
Tomato leaf yellow virus 0.0114 63 149 101 217
Tomato leaf yellow virus 0.0113 358 111 370 133
Tomato leaf yellow virus 0.0113 267 4 285 49
Tomato leaf yellow virus 0.0111 108 173 125 218
Tomato leaf yellow virus 0.0111 21 375 86 417
Tomato leaf yellow virus 0.0110 170 49 190 101
Tomato leaf yellow virus 0.0110 341 73 359 123
Tomato leaf yellow virus 0.0109 134 408 160 416
Tomato leaf yellow virus 0.0109 80 172 100 217
Tomato leaf yellow virus 0.0108 172 34 191 85
Tomato leaf yellow virus 0.0108 181 144 195 166
Tomato leaf yellow virus 0.0107 285 86 296 110
Tomato leaf yellow virus 0.0106 311 127 323 152
Tomato leaf yellow virus 0.0106 394 128 416 162
Tomato leaf yellow virus 0.0106 263 157 276 183
Tomato leaf yellow virus 0.0105 164 134 180 175
Tomato leaf yellow virus 0.0104 123 265 141 285
Tomato leaf yellow virus 0.0104 214 117 225 143
Tomato leaf yellow virus 0.0104 153 71 172 124
Tomato leaf yellow virus 0.0103 104 137 123 175
Tomato leaf yellow virus 0.0103 232 2 254 37
Tomato leaf yellow virus 0.0103 48 226 90 261
Tomato leaf yellow virus 0.0103 64 407 86 415
Tomato leaf yellow virus 0.0101 274 41 309 74
Tomato leaf yellow virus 0.0101 0 191 22 229
Tomato leaf yellow virus 0.0100 1 263 44 325
Tomato leaf yellow virus 0.0099 218 29 237 73
Tomato leaf yellow virus 0.0099 101 178 118 230
Tomato leaf yellow virus 0.0098 340 49 372 150
Tomato leaf yellow virus 0.0098 365 104 377 127
Tomato leaf yellow virus 0.0097 0 181 11 224
Tomato leaf yellow virus 0.0097 197 176 212 197
Tomato leaf yellow virus 0.0096 166 134 176 160
Tomato leaf yellow virus 0.0096 241 111 277 134
Tomato leaf yellow virus 0.0096 88 408 111 416
Tomato leaf yellow virus 0.0096 173 160 190 200
Tomato leaf yellow virus 0.0096 235 196 250 213
Tomato leaf yellow virus 0.0095 303 88 313 110
Tomato leaf yellow virus 0.0095 307 113 336 183
Tomato leaf yellow virus 0.0094 209 197 246 263
Tomato leaf yellow virus 0.0094 299 42 320 93
Tomato leaf yellow virus 0.0094 227 239 241 262
Tomato leaf yellow virus 0.0093 263 3 301 73
Tomato leaf yellow virus 0.0093 99 339 135 414
Tomato leaf yellow virus 0.0092 149 77 165 120
Tomato leaf yellow virus 0.0092 87 127 110 166
Tomato leaf yellow virus 0.0091 155 328 170 350
Tomato leaf yellow virus 0.0091 85 169 99 189
Tomato leaf yellow virus 0.0090 122 112 141 149
Tomato leaf yellow virus 0.0090 290 42 310 92
Tomato leaf yellow virus 0.0090 211 169 225 192
Tomato leaf yellow virus 0.0090 238 96 253 117
Tomato leaf yellow virus 0.0089 313 157 333 202
Tomato leaf yellow virus 0.0089 235 55 256 94
Tomato leaf yellow virus 0.0089 90 152 110 191
Tomato leaf yellow virus 0.0088 166 184 178 207
Tomato leaf yellow virus 0.0087 0 169 36 229
Tomato leaf yellow virus 0.0086 253 153 284 243
Tomato leaf yellow virus 0.0086 235 109 256 136
Tomato leaf yellow virus 0.0086 184 164 221 238
Tomato leaf yellow virus 0.0086 18 201 54 256
Tomato leaf yellow virus 0.0086 307 153 337 215
Tomato leaf yellow virus 0.0086 122 89 153 150
Tomato leaf yellow virus 0.0085 249 55 267 91
Tomato leaf yellow virus 0.0085 81 126 119 203
Tomato leaf yellow virus 0.0085 151 118 160 143
Tomato leaf yellow virus 0.0085 167 143 177 167
Tomato leaf yellow virus 0.0084 184 148 202 193
Tomato leaf yellow virus 0.0084 0 198 6 224
Tomato leaf yellow virus 0.0084 245 323 310 369
Tomato leaf yellow virus 0.0083 152 143 171 185
Tomato leaf yellow virus 0.0083 110 119 123 142
Tomato leaf yellow virus 0.0082 210 224 232 264
Tomato leaf yellow virus 0.0082 265 -8 333 148
Tomato leaf yellow virus 0.0082 110 410 139 416
Tomato leaf yellow virus 0.0082 158 145 169 166
Tomato leaf yellow virus 0.0082 0 256 7 280
Tomato leaf yellow virus 0.0081 225 204 246 248
Tomato leaf yellow virus 0.0081 100 169 114 189
Tomato leaf yellow virus 0.0080 294 105 305 126
Tomato leaf yellow virus 0.0079 242 24 276 87
Tomato leaf yellow virus 0.0079 173 264 190 285
Tomato leaf yellow virus 0.0078 288 364 308 412
Tomato leaf yellow virus 0.0078 247 70 280 137
Tomato leaf yellow virus 0.0078 297 22 317 65
Tomato leaf yellow virus 0.0077 128 251 146 289
Tomato leaf yellow virus 0.0077 160 203 185 249
Tomato leaf yellow virus 0.0077 212 143 224 168
Tomato leaf yellow virus 0.0076 303 159 326 199
Tomato leaf yellow virus 0.0076 97 162 116 196
Tomato leaf yellow virus 0.0076 137 145 156 184
Tomato leaf yellow virus 0.0075 159 109 170 136
Tomato leaf yellow virus 0.0075 300 176 314 196
Tomato leaf yellow virus 0.0075 -4 405 45 416
Tomato leaf yellow virus 0.0074 262 105 274 125
Tomato leaf yellow virus 0.0074 254 54 264 80
Tomato leaf yellow virus 0.0074 167 125 176 153
Tomato leaf yellow virus 0.0074 246 322 270 357
Tomato leaf yellow virus 0.0074 139 226 160 261
Tomato leaf yellow virus 0.0073 260 61 278 107
Tomato leaf yellow virus 0.0073 252 106 266 125
Tomato leaf yellow virus 0.0073 49 206 85 232
Tomato leaf yellow virus 0.0072 255 95 266 119
Tomato leaf yellow virus 0.0072 232 322 256 356
Tomato leaf yellow virus 0.0072 293 111 303 136
Tomato leaf yellow virus 0.0072 208 261 228 304
Tomato leaf yellow virus 0.0072 366 111 377 135
Tomato leaf yellow virus 0.0071 221 66 234 86
Tomato leaf yellow virus 0.0071 267 159 281 181
Tomato leaf yellow virus 0.0071 169 4 202 78
Tomato leaf yellow virus 0.0070 234 88 267 147
Tomato leaf yellow virus 0.0070 373 137 388 157
Tomato leaf yellow virus 0.0070 243 84 257 102
Tomato leaf yellow virus 0.0070 223 267 233 298
Tomato leaf yellow virus 0.0069 360 155 381 200
Tomato leaf yellow virus 0.0069 292 178 308 196
Tomato leaf yellow virus 0.0069 287 96 297 117
Tomato leaf yellow virus 0.0068 219 64 236 101
Tomato leaf yellow virus 0.0068 129 120 150 158
Tomato leaf yellow virus 0.0066 302 107 314 124
Tomato leaf yellow virus 0.0066 235 26 255 62
Tomato leaf yellow virus 0.0066 257 174 277 218
Tomato leaf yellow virus 0.0065 217 233 253 301
Tomato leaf yellow virus 0.0064 164 285 183 300
Tomato leaf yellow virus 0.0064 47 407 74 415
Tomato leaf yellow virus 0.0064 412 138 416 170
Tomato leaf yellow virus 0.0064 394 129 414 147
Tomato leaf yellow virus 0.0064 230 361 293 416
Tomato leaf yellow virus 0.0064 300 80 316 117
Tomato leaf yellow virus 0.0063 93 169 107 189
Tomato leaf yellow virus 0.0063 123 98 140 135
Tomato leaf yellow virus 0.0063 285 179 301 197
Tomato leaf yellow virus 0.0062 106 118 126 159
Tomato leaf yellow virus 0.0062 1 259 21 276
Tomato leaf yellow virus 0.0062 2 392 53 416
Tomato leaf yellow virus 0.0062 234 205 268 282
Tomato leaf yellow virus 0.0062 225 2 246 37
Tomato leaf yellow virus 0.0062 67 160 81 182
Tomato leaf yellow virus 0.0062 365 119 378 142
Tomato leaf yellow virus 0.0061 291 39 308 61
Tomato leaf yellow virus 0.0061 102 410 128 416
Tomato leaf yellow virus 0.0061 309 106 322 125
Tomato leaf yellow virus 0.0061 0 182 7 209
Tomato leaf yellow virus 0.0061 237 158 250 182
Tomato leaf yellow virus 0.0060 252 186 270 221
Tomato leaf yellow virus 0.0060 0 189 8 249
Tomato leaf yellow virus 0.0060 132 42 168 127
Tomato leaf yellow virus 0.0059 49 186 68 218
Tomato leaf yellow virus 0.0059 115 145 136 182
Tomato leaf yellow virus 0.0059 267 153 280 175
Tomato leaf yellow virus 0.0059 217 156 239 201
Tomato leaf yellow virus 0.0058 221 118 232 142
Tomato leaf yellow virus 0.0058 152 109 162 137
Tomato leaf yellow virus 0.0058 273 337 313 415
Tomato leaf yellow virus 0.0058 118 127 130 149
Tomato leaf yellow virus 0.0058 202 76 219 120
Tomato leaf yellow virus 0.0057 280 46 314 125
Tomato leaf yellow virus 0.0057 236 271 252 292
Tomato leaf yellow virus 0.0057 178 131 212 204
Tomato leaf yellow virus 0.0057 268 77 279 105
Tomato leaf yellow virus 0.0057 74 165 93 211
Tomato leaf yellow virus 0.0057 278 104 288 127
Tomato leaf yellow virus 0.0056 284 85 299 127
Tomato leaf yellow virus 0.0056 297 373 317 417
Tomato leaf yellow virus 0.0056 255 46 266 72
Tomato leaf yellow virus 0.0056 236 85 252 101
Tomato leaf yellow virus 0.0056 49 263 84 288
Tomato leaf yellow virus 0.0055 222 72 234 93
Tomato leaf yellow virus 0.0055 240 62 261 101
Tomato leaf yellow virus 0.0055 408 125 416 184
Tomato leaf yellow virus 0.0055 222 214 232 240
Tomato leaf yellow virus 0.0054 126 104 137 127
Tomato leaf yellow virus 0.0054 353 47 371 103
Tomato leaf yellow virus 0.0054 95 408 120 416
Tomato leaf yellow virus 0.0054 32 208 54 249
Tomato leaf yellow virus 0.0054 240 213 250 241
Tomato leaf yellow virus 0.0053 85 161 98 183
Tomato leaf yellow virus 0.0053 288 4 309 49
Tomato leaf yellow virus 0.0053 237 108 253 125
Tomato leaf yellow virus 0.0052 243 202 262 241
Tomato leaf yellow virus 0.0052 302 98 314 116
Tomato leaf yellow virus 0.0052 316 126 329 151
Tomato leaf yellow virus 0.0052 104 185 122 237
Tomato leaf yellow virus 0.0052 231 153 244 175
Tomato leaf yellow virus 0.0052 287 105 297 125
Tomato leaf yellow virus 0.0052 274 101 291 145
Tomato leaf yellow virus 0.0052 141 137 153 158
Tomato leaf yellow virus 0.0052 216 9 237 43
Tomato leaf yellow virus 0.0051 256 192 293 269
Tomato leaf yellow virus 0.0051 137 130 155 164
Tomato leaf yellow virus 0.0051 300 167 315 190
Tomato leaf yellow virus 0.0051 134 137 147 158
Tomato leaf yellow virus 0.0051 0 380 4 413
Tomato leaf yellow virus 0.0050 292 90 308 125
Tomato leaf yellow virus 0.0050 67 166 81 190
Tomato leaf yellow virus 0.0050 137 312 196 362
Tomato leaf yellow virus 0.0050 132 121 147 140
Tomato leaf yellow virus 0.0050 307 135 327 173
Tomato leaf yellow virus 0.0049 135 213 158 242
Tomato leaf yellow virus 0.0049 263 227 297 297
Tomato leaf yellow virus 0.0048 361 91 379 126
Tomato leaf yellow virus 0.0048 230 265 246 285
Tomato leaf yellow virus 0.0048 132 319 147 342
Tomato leaf yellow virus 0.0048 189 143 199 169
Tomato leaf yellow virus 0.0048 270 409 297 416
Tomato leaf yellow virus 0.0048 57 212 78 228
Tomato leaf yellow virus 0.0048 351 104 365 124
Tomato leaf yellow virus 0.0047 208 21 249 88
Tomato leaf yellow virus 0.0047 229 72 241 94
Tomato leaf yellow virus 0.0047 170 289 189 305
Tomato leaf yellow virus 0.0047 183 125 192 152
Tomato leaf yellow virus 0.0047 81 409 103 416
Tomato leaf yellow virus 0.0047 0 236 41 289
Tomato leaf yellow virus 0.0047 231 136 244 157
Tomato leaf yellow virus 0.0047 310 113 322 134
Tomato leaf yellow virus 0.0047 207 38 220 62
Tomato leaf yellow virus 0.0046 149 105 181 197
Tomato leaf yellow virus 0.0046 0 316 8 395
Tomato leaf yellow virus 0.0046 260 324 300 389
Tomato leaf yellow virus 0.0046 147 116 163 160
Tomato leaf yellow virus 0.0046 136 0 161 56
Tomato leaf yellow virus 0.0046 261 45 272 71
Tomato leaf yellow virus 0.0046 235 390 282 414
Tomato leaf yellow virus 0.0045 172 274 190 295
Tomato leaf yellow virus 0.0045 213 89 225 110
Tomato leaf yellow virus 0.0045 50 395 96 416
Tomato leaf yellow virus 0.0044 340 96 357 133
Tomato leaf yellow virus 0.0044 175 167 187 191
Tomato leaf yellow virus 0.0044 241 276 263 308
Tomato leaf yellow virus 0.0044 206 271 218 296
Tomato leaf yellow virus 0.0044 297 408 319 416
Tomato leaf yellow virus 0.0044 1 286 40 315
Tomato leaf yellow virus 0.0044 224 223 243 266
Tomato leaf yellow virus 0.0044 130 87 168 152
Tomato leaf yellow virus 0.0044 126 120 137 143
Tomato leaf yellow virus 0.0044 259 66 290 139
Tomato leaf yellow virus 0.0043 51 192 65 213
Tomato leaf yellow virus 0.0043 162 33 180 86
Tomato leaf yellow virus 0.0043 285 184 301 205
Tomato leaf yellow virus 0.0043 308 104 325 144
Tomato leaf yellow virus 0.0043 89 396 111 414
Tomato leaf yellow virus 0.0043 0 366 8 425
Tomato leaf yellow virus 0.0043 299 395 317 414
Tomato leaf yellow virus 0.0043 181 100 211 172
Tomato leaf yellow virus 0.0042 120 315 143 359
Tomato leaf yellow virus 0.0042 347 101 369 146
Tomato leaf yellow virus 0.0042 275 44 292 88
Tomato leaf yellow virus 0.0042 89 171 121 257
Tomato leaf yellow virus 0.0042 264 36 284 81
Tomato leaf yellow virus 0.0042 67 203 86 219
Tomato leaf yellow virus 0.0042 179 164 196 209
Tomato leaf yellow virus 0.0041 107 238 142 291
Tomato leaf yellow virus 0.0041 247 221 259 247
Tomato leaf yellow virus 0.0041 395 138 414 153
Tomato leaf yellow virus 0.0041 292 183 306 206
Tomato leaf yellow virus 0.0041 297 60 316 104
Tomato leaf yellow virus 0.0041 279 48 291 69
Tomato leaf yellow virus 0.0041 72 221 96 266
Tomato leaf yellow virus 0.0040 84 128 100 150
Tomato leaf yellow virus 0.0040 167 320 192 355
Tomato leaf yellow virus 0.0040 230 345 270 384
Tomato leaf yellow virus 0.0040 58 311 76 349
Tomato leaf yellow virus 0.0040 77 184 90 207
Tomato leaf yellow virus 0.0040 0 286 6 313
Tomato leaf yellow virus 0.0040 122 271 140 291
Tomato leaf yellow virus 0.0040 137 219 157 236
Tomato leaf yellow virus 0.0039 85 134 98 158
Tomato leaf yellow virus 0.0039 182 166 193 192
Tomato leaf yellow virus 0.0039 80 125 117 155
Tomato leaf yellow virus 0.0039 0 321 6 356
Tomato leaf yellow virus 0.0039 156 115 173 161
Tomato leaf yellow virus 0.0039 176 125 185 152
Tomato leaf yellow virus 0.0039 151 127 160 151
Tomato leaf yellow virus 0.0038 156 321 171 342
Tomato leaf yellow virus 0.0038 226 344 247 384
Tomato leaf yellow virus 0.0038 175 135 184 160
Tomato leaf yellow virus 0.0038 103 104 137 162
Tomato leaf yellow virus 0.0038 239 256 261 295
Tomato leaf yellow virus 0.0038 344 121 367 158
Tomato leaf yellow virus 0.0038 295 174 317 215
Tomato leaf yellow virus 0.0038 0 201 4 236
Tomato leaf yellow virus 0.0038 63 195 87 225
Tomato leaf yellow virus 0.0038 268 193 283 214
Tomato leaf yellow virus 0.0038 9 137 44 196
Tomato leaf yellow virus 0.0037 132 112 147 134
Tomato leaf yellow virus 0.0037 230 3 266 78
Tomato leaf yellow virus 0.0037 32 396 56 413
Tomato leaf yellow virus 0.0037 118 31 157 109
Tomato leaf yellow virus 0.0037 204 281 220 301
Tomato leaf yellow virus 0.0037 224 193 247 230
Tomato leaf yellow virus 0.0037 388 111 403 133
Tomato leaf yellow virus 0.0037 307 84 323 115
Tomato leaf yellow virus 0.0037 13 380 60 415
