Tomato Septoria leaf spot 0.0010 149 46 262 303
Tomato leaf yellow virus 0.0071 264 105 330 234
Tomato leaf yellow virus 0.0070 197 68 238 166
Tomato leaf yellow virus 0.0068 265 187 306 221
Tomato leaf yellow virus 0.0067 231 245 268 346
Tomato leaf yellow virus 0.0066 197 122 236 215
Tomato leaf yellow virus 0.0066 411 138 415 171
Tomato leaf yellow virus 0.0065 284 225 341 371
Tomato leaf yellow virus 0.0065 250 115 312 255
Tomato leaf yellow virus 0.0065 150 0 176 5
Tomato leaf yellow virus 0.0064 214 0 258 26
Tomato leaf yellow virus 0.0064 318 39 397 202
Tomato leaf yellow virus 0.0062 405 291 416 338
Tomato leaf yellow virus 0.0062 51 111 88 190
Tomato leaf yellow virus 0.0062 405 -2 416 41
Tomato leaf yellow virus 0.0062 150 1 190 68
Tomato leaf yellow virus 0.0062 0 391 6 417
Tomato leaf yellow virus 0.0061 288 8 364 61
Tomato leaf yellow virus 0.0061 -1 409 25 416
Tomato leaf yellow virus 0.0060 0 150 7 225
Tomato leaf yellow virus 0.0060 165 0 194 5
Tomato leaf yellow virus 0.0059 144 248 167 290
Tomato leaf yellow virus 0.0059 343 298 410 358
Tomato leaf yellow virus 0.0058 148 403 194 415
Tomato leaf yellow virus 0.0057 71 84 112 116
Tomato leaf yellow virus 0.0057 67 0 100 4
Tomato leaf yellow virus 0.0055 391 0 416 6
Tomato leaf yellow virus 0.0053 139 202 201 330
Tomato leaf yellow virus 0.0053 271 0 296 5
Tomato leaf yellow virus 0.0052 336 392 391 415
Tomato leaf yellow virus 0.0052 167 0 193 39
Tomato leaf yellow virus 0.0052 0 120 43 213
Tomato leaf yellow virus 0.0050 30 377 55 415
Tomato leaf yellow virus 0.0050 53 0 112 8
Tomato leaf yellow virus 0.0050 408 97 416 184
Tomato leaf yellow virus 0.0049 101 392 145 415
Tomato leaf yellow virus 0.0048 200 291 224 339
Tomato leaf yellow virus 0.0048 182 0 209 5
Tomato leaf yellow virus 0.0047 104 0 158 23
Tomato leaf yellow virus 0.0046 0 0 36 27
Tomato leaf yellow virus 0.0046 228 405 276 415
Tomato leaf yellow virus 0.0046 0 -6 8 47
Tomato leaf yellow virus 0.0046 141 0 170 4
Tomato leaf yellow virus 0.0045 86 0 128 38
Tomato leaf yellow virus 0.0045 69 0 115 23
Tomato leaf yellow virus 0.0045 396 85 416 215
Tomato leaf yellow virus 0.0044 333 405 394 416
Tomato leaf yellow virus 0.0043 0 0 24 7
Tomato leaf yellow virus 0.0043 162 390 216 415
Tomato leaf yellow virus 0.0043 398 17 416 154
Tomato leaf yellow virus 0.0043 303 156 327 203
Tomato leaf yellow virus 0.0043 23 1 63 39
Tomato leaf yellow virus 0.0043 160 396 182 415
Tomato leaf yellow virus 0.0043 229 0 270 75
Tomato leaf yellow virus 0.0042 18 129 63 208
Tomato leaf yellow virus 0.0042 23 364 62 415
Tomato leaf yellow virus 0.0041 338 32 410 109
Tomato leaf yellow virus 0.0041 0 258 42 339
Tomato leaf yellow virus 0.0041 408 0 415 9
Tomato leaf yellow virus 0.0041 376 1 419 37
Tomato leaf yellow virus 0.0041 48 225 92 263
Tomato leaf yellow virus 0.0041 200 70 243 111
Tomato leaf yellow virus 0.0041 277 0 324 25
Tomato leaf yellow virus 0.0041 278 174 320 214
Tomato leaf yellow virus 0.0041 51 0 178 99
Tomato leaf yellow virus 0.0040 101 229 137 324
Tomato leaf yellow virus 0.0040 36 129 78 208
Tomato leaf yellow virus 0.0039 204 6 217 30
Tomato leaf yellow virus 0.0039 228 0 244 20
Tomato leaf yellow virus 0.0039 317 0 347 4
Tomato leaf yellow virus 0.0038 246 0 273 4
Tomato leaf yellow virus 0.0038 104 115 129 160
Tomato leaf yellow virus 0.0038 0 113 8 182
Tomato leaf yellow virus 0.0038 262 40 288 78
Tomato leaf yellow virus 0.0038 182 238 221 318
Tomato leaf yellow virus 0.0038 383 0 410 5
Tomato leaf yellow virus 0.0038 54 234 96 322
Tomato leaf yellow virus 0.0038 268 168 328 322
Tomato leaf yellow virus 0.0037 256 0 280 5
Tomato leaf yellow virus 0.0037 216 0 239 5
Tomato leaf yellow virus 0.0037 192 0 215 6
Tomato leaf yellow virus 0.0036 0 405 7 416
Tomato leaf yellow virus 0.0036 411 378 415 413
Tomato leaf yellow virus 0.0036 196 0 213 22
Tomato leaf yellow virus 0.0036 259 0 308 24
Tomato leaf yellow virus 0.0036 323 344 364 412
Tomato leaf yellow virus 0.0036 97 77 120 119
Tomato leaf yellow virus 0.0035 11 1 94 50
Tomato leaf yellow virus 0.0035 153 0 205 11
Tomato leaf yellow virus 0.0035 356 363 396 413
Tomato leaf yellow virus 0.0035 254 -2 280 38
Tomato leaf yellow virus 0.0035 86 276 119 377
Tomato leaf yellow virus 0.0035 343 277 411 411
Tomato leaf yellow virus 0.0034 202 0 220 6
Tomato leaf yellow virus 0.0034 220 0 267 10
Tomato leaf yellow virus 0.0034 292 92 370 214
Tomato leaf yellow virus 0.0034 397 305 414 323
Tomato leaf yellow virus 0.0034 270 1 317 38
Tomato leaf yellow virus 0.0034 273 372 355 415
Tomato leaf yellow virus 0.0033 70 152 115 191
Tomato leaf yellow virus 0.0033 210 0 230 5
Tomato leaf yellow virus 0.0032 85 60 155 117
Tomato leaf yellow virus 0.0032 139 410 172 416
Tomato leaf yellow virus 0.0032 398 178 416 280
Tomato leaf yellow virus 0.0031 331 212 366 290
Tomato leaf yellow virus 0.0031 411 259 415 292
Tomato leaf yellow virus 0.0031 71 210 96 259
Tomato leaf yellow virus 0.0031 143 -1 167 43
Tomato leaf yellow virus 0.0031 163 69 185 112
Tomato leaf yellow virus 0.0031 408 304 415 374
Tomato leaf yellow virus 0.0031 410 308 415 338
Tomato leaf yellow virus 0.0030 140 0 186 25
Tomato leaf yellow virus 0.0030 263 -1 285 26
Tomato leaf yellow virus 0.0029 99 410 133 416
Tomato leaf yellow virus 0.0029 227 411 261 415
Tomato leaf yellow virus 0.0029 138 122 156 171
Tomato leaf yellow virus 0.0029 187 0 205 20
Tomato leaf yellow virus 0.0029 130 404 182 416
Tomato leaf yellow virus 0.0029 101 250 132 368
Tomato leaf yellow virus 0.0029 103 68 125 115
Tomato leaf yellow virus 0.0028 0 334 38 414
Tomato leaf yellow virus 0.0028 196 187 238 266
Tomato leaf yellow virus 0.0028 0 -2 7 24
Tomato leaf yellow virus 0.0028 368 85 413 278
Tomato leaf yellow virus 0.0028 333 146 366 221
Tomato leaf yellow virus 0.0028 320 0 374 10
Tomato leaf yellow virus 0.0028 43 0 93 22
Tomato leaf yellow virus 0.0028 397 298 414 316
Tomato leaf yellow virus 0.0028 233 1 253 20
Tomato leaf yellow virus 0.0028 366 0 392 5
Tomato leaf yellow virus 0.0027 18 200 58 262
Tomato leaf yellow virus 0.0027 63 219 104 305
Tomato leaf yellow virus 0.0027 127 317 169 393
Tomato leaf yellow virus 0.0027 17 215 41 253
Tomato leaf yellow virus 0.0027 93 123 136 211
Tomato leaf yellow virus 0.0027 286 391 348 415
Tomato leaf yellow virus 0.0027 71 261 95 305
Tomato leaf yellow virus 0.0027 393 313 415 408
Tomato leaf yellow virus 0.0026 198 127 253 295
Tomato leaf yellow virus 0.0026 191 -2 228 30
Tomato leaf yellow virus 0.0026 204 358 233 404
Tomato leaf yellow virus 0.0026 341 0 371 4
Tomato leaf yellow virus 0.0026 -1 392 41 416
Tomato leaf yellow virus 0.0025 278 221 318 310
Tomato leaf yellow virus 0.0025 46 375 92 415
Tomato leaf yellow virus 0.0025 143 158 185 189
Tomato leaf yellow virus 0.0025 69 60 132 175
Tomato leaf yellow virus 0.0025 123 40 178 165
Tomato leaf yellow virus 0.0025 345 411 383 416
Tomato leaf yellow virus 0.0024 209 -1 229 37
Tomato leaf yellow virus 0.0024 407 149 416 224
Tomato leaf yellow virus 0.0024 354 304 400 380
Tomato leaf yellow virus 0.0024 38 153 76 243
Tomato leaf yellow virus 0.0024 18 127 90 269
Tomato leaf yellow virus 0.0024 331 355 351 387
Tomato leaf yellow virus 0.0023 36 270 72 351
Tomato leaf yellow virus 0.0023 139 224 202 281
Tomato leaf yellow virus 0.0023 0 78 22 191
Tomato leaf yellow virus 0.0023 361 1 385 18
Tomato leaf yellow virus 0.0023 270 0 328 9
Tomato leaf yellow virus 0.0023 259 410 291 415
Tomato leaf yellow virus 0.0023 158 374 184 417
Tomato leaf yellow virus 0.0023 0 208 21 259
Tomato leaf yellow virus 0.0023 279 140 340 201
Tomato leaf yellow virus 0.0023 0 256 7 343
Tomato leaf yellow virus 0.0022 407 228 416 289
Tomato leaf yellow virus 0.0022 0 73 7 158
Tomato leaf yellow virus 0.0022 208 411 247 415
Tomato leaf yellow virus 0.0022 229 311 263 405
Tomato leaf yellow virus 0.0022 182 46 248 169
Tomato leaf yellow virus 0.0022 105 303 143 383
Tomato leaf yellow virus 0.0022 411 152 415 190
Tomato leaf yellow virus 0.0022 58 117 128 249
Tomato leaf yellow virus 0.0022 373 300 412 388
Tomato leaf yellow virus 0.0022 240 143 285 286
Tomato leaf yellow virus 0.0022 39 374 62 416
Tomato leaf yellow virus 0.0022 0 345 6 431
Tomato leaf yellow virus 0.0022 2 410 36 416
Tomato leaf yellow virus 0.0022 246 392 287 415
Tomato leaf yellow virus 0.0022 75 406 140 416
Tomato leaf yellow virus 0.0021 241 0 374 88
Tomato leaf yellow virus 0.0021 240 291 263 341
Tomato leaf yellow virus 0.0021 0 0 8 9
Tomato leaf yellow virus 0.0021 259 104 299 169
Tomato leaf yellow virus 0.0021 326 2 367 66
Tomato leaf yellow virus 0.0021 125 0 171 25
Tomato leaf yellow virus 0.0021 384 398 407 414
Tomato leaf yellow virus 0.0021 4 0 34 4
Tomato leaf yellow virus 0.0020 144 340 186 414
Tomato leaf yellow virus 0.0020 133 231 174 298
Tomato leaf yellow virus 0.0020 91 0 124 3
Tomato leaf yellow virus 0.0020 119 22 163 62
Tomato leaf yellow virus 0.0020 374 260 416 328
Tomato leaf yellow virus 0.0020 302 404 361 416
Tomato leaf yellow virus 0.0020 385 403 421 416
Tomato leaf yellow virus 0.0020 281 0 318 3
Tomato leaf yellow virus 0.0020 69 57 111 92
Tomato leaf yellow virus 0.0020 411 201 416 238
Tomato leaf yellow virus 0.0020 186 295 244 355
Tomato leaf yellow virus 0.0020 61 91 107 123
Tomato leaf yellow virus 0.0020 314 73 378 139
Tomato leaf yellow virus 0.0019 250 398 270 414
Tomato leaf yellow virus 0.0019 101 158 137 233
Tomato leaf yellow virus 0.0019 163 4 228 64
Tomato leaf yellow virus 0.0019 269 405 330 416
Tomato leaf yellow virus 0.0019 309 102 350 195
Tomato leaf yellow virus 0.0019 232 11 272 40
Tomato leaf yellow virus 0.0019 395 260 416 359
Tomato leaf yellow virus 0.0019 47 375 70 415
Tomato leaf yellow virus 0.0019 80 390 136 416
Tomato leaf yellow virus 0.0019 342 27 367 57
Tomato leaf yellow virus 0.0019 49 244 100 273
Tomato leaf yellow virus 0.0019 44 207 103 348
Tomato leaf yellow virus 0.0019 261 256 298 364
Tomato leaf yellow virus 0.0018 248 17 287 89
Tomato leaf yellow virus 0.0018 258 160 298 238
Tomato leaf yellow virus 0.0018 0 388 22 416
Tomato leaf yellow virus 0.0018 393 311 415 349
Tomato leaf yellow virus 0.0018 327 370 352 409
Tomato leaf yellow virus 0.0018 408 61 416 136
Tomato leaf yellow virus 0.0018 374 193 413 267
Tomato leaf yellow virus 0.0018 250 119 311 183
Tomato leaf yellow virus 0.0018 183 -1 207 37
Tomato leaf yellow virus 0.0017 -6 405 46 416
Tomato leaf yellow virus 0.0017 7 244 65 386
Tomato leaf yellow virus 0.0017 191 406 249 416
Tomato leaf yellow virus 0.0017 259 0 277 20
Tomato leaf yellow virus 0.0017 78 373 104 417
Tomato leaf yellow virus 0.0017 1 356 22 417
Tomato leaf yellow virus 0.0017 231 392 272 415
Tomato leaf yellow virus 0.0017 329 -1 352 28
Tomato leaf yellow virus 0.0017 16 -2 36 42
Tomato leaf yellow virus 0.0017 48 37 87 105
Tomato leaf yellow virus 0.0017 175 62 219 147
Tomato leaf yellow virus 0.0017 284 18 330 51
Tomato leaf yellow virus 0.0017 224 64 245 104
Tomato leaf yellow virus 0.0016 147 147 207 282
Tomato leaf yellow virus 0.0016 50 0 86 3
Tomato leaf yellow virus 0.0016 178 1 196 19
Tomato leaf yellow virus 0.0016 80 371 158 415
Tomato leaf yellow virus 0.0016 140 376 168 416
Tomato leaf yellow virus 0.0016 161 410 196 416
Tomato leaf yellow virus 0.0016 192 236 240 353
Tomato leaf yellow virus 0.0016 411 242 416 276
Tomato leaf yellow virus 0.0016 157 405 218 416
Tomato leaf yellow virus 0.0016 280 108 303 153
Tomato leaf yellow virus 0.0016 39 100 108 168
Tomato leaf yellow virus 0.0016 208 321 232 358
Tomato leaf yellow virus 0.0016 88 0 158 9
Tomato leaf yellow virus 0.0016 271 27 344 84
Tomato leaf yellow virus 0.0016 169 1 191 19
Tomato leaf yellow virus 0.0016 280 411 318 416
Tomato leaf yellow virus 0.0016 376 16 415 99
Tomato leaf yellow virus 0.0016 367 398 391 414
Tomato leaf yellow virus 0.0015 85 11 154 162
Tomato leaf yellow virus 0.0015 118 38 180 106
Tomato leaf yellow virus 0.0015 352 273 397 352
Tomato leaf yellow virus 0.0015 87 -2 156 90
Tomato leaf yellow virus 0.0015 182 310 250 375
Tomato leaf yellow virus 0.0015 51 268 92 352
Tomato leaf yellow virus 0.0015 115 334 158 411
Tomato leaf yellow virus 0.0015 338 0 356 20
Tomato leaf yellow virus 0.0015 50 27 124 150
Tomato leaf yellow virus 0.0015 129 0 181 9
Tomato leaf yellow virus 0.0015 78 8 204 140
Tomato leaf yellow virus 0.0014 233 0 284 11
Tomato leaf yellow virus 0.0014 29 162 72 197
Tomato leaf yellow virus 0.0014 216 -1 237 27
Tomato leaf yellow virus 0.0014 73 301 110 381
Tomato leaf yellow virus 0.0014 197 7 213 29
Tomato leaf yellow virus 0.0014 87 29 128 115
Tomato leaf yellow virus 0.0014 25 411 61 416
Tomato leaf yellow virus 0.0014 0 385 10 419
Tomato leaf yellow virus 0.0014 0 -3 47 150
Tomato leaf yellow virus 0.0013 265 392 319 415
Tomato leaf yellow virus 0.0013 406 5 416 83
Tomato leaf yellow virus 0.0013 114 161 135 211
Tomato leaf yellow virus 0.0013 239 122 260 174
Tomato leaf yellow virus 0.0013 103 196 128 243
Tomato leaf yellow virus 0.0013 250 1 269 20
Tomato leaf yellow virus 0.0013 411 186 415 220
Tomato leaf yellow virus 0.0013 225 134 259 176
Tomato leaf yellow virus 0.0013 385 343 406 400
Tomato leaf yellow virus 0.0013 71 0 140 117
Tomato leaf yellow virus 0.0013 183 272 221 346
Tomato leaf yellow virus 0.0013 69 172 117 201
Tomato leaf yellow virus 0.0013 246 405 305 416
Tomato leaf yellow virus 0.0013 241 1 262 19
Tomato leaf yellow virus 0.0013 163 245 235 312
Tomato leaf yellow virus 0.0013 408 330 416 412
Tomato leaf yellow virus 0.0013 411 12 416 41
Tomato leaf yellow virus 0.0012 168 103 202 195
Tomato leaf yellow virus 0.0012 395 -8 416 89
Tomato leaf yellow virus 0.0012 276 112 339 185
Tomato leaf yellow virus 0.0012 115 248 154 341
Tomato leaf yellow virus 0.0012 304 0 359 8
Tomato leaf yellow virus 0.0012 237 245 288 385
Tomato leaf yellow virus 0.0012 51 405 115 417
Tomato leaf yellow virus 0.0012 141 111 198 227
Tomato leaf yellow virus 0.0012 200 58 263 214
Tomato leaf yellow virus 0.0012 192 29 231 59
Tomato leaf yellow virus 0.0012 332 361 349 379
Tomato leaf yellow virus 0.0012 395 132 415 194
Tomato leaf yellow virus 0.0012 113 0 152 3
Tomato leaf yellow virus 0.0012 272 106 314 142
Tomato leaf yellow virus 0.0012 247 150 315 219
Tomato leaf yellow virus 0.0012 223 304 266 341
Tomato leaf yellow virus 0.0012 154 1 172 19
Tomato leaf yellow virus 0.0012 234 53 255 97
Tomato leaf yellow virus 0.0011 391 181 415 224
Tomato leaf yellow virus 0.0011 79 412 119 416
Tomato leaf yellow virus 0.0011 375 59 412 180
Tomato leaf yellow virus 0.0011 206 138 229 173
Tomato leaf yellow virus 0.0011 221 275 275 413
Tomato leaf yellow virus 0.0011 0 -1 4 38
Tomato leaf yellow virus 0.0011 345 0 396 11
Tomato leaf yellow virus 0.0011 247 101 284 174
Tomato leaf yellow virus 0.0011 412 319 415 358
Tomato leaf yellow virus 0.0011 134 78 162 119
Tomato leaf yellow virus 0.0011 335 241 360 293
Tomato leaf yellow virus 0.0011 0 193 41 264
Tomato leaf yellow virus 0.0011 398 288 414 308
Tomato leaf yellow virus 0.0011 372 0 419 10
Tomato leaf yellow virus 0.0011 179 0 226 12
Tomato leaf yellow virus 0.0011 -2 -3 113 96
Tomato leaf yellow virus 0.0011 338 42 382 127
Tomato leaf yellow virus 0.0011 119 284 179 406
Tomato leaf yellow virus 0.0011 134 11 161 60
Tomato leaf yellow virus 0.0011 47 205 68 250
Tomato leaf yellow virus 0.0011 51 138 88 221
Tomato leaf yellow virus 0.0011 217 311 236 352
Tomato leaf yellow virus 0.0011 133 114 166 184
Tomato leaf yellow virus 0.0011 103 -1 235 99
Tomato leaf yellow virus 0.0011 141 255 186 293
Tomato leaf yellow virus 0.0011 35 227 73 331
Tomato leaf yellow virus 0.0011 299 0 333 3
Tomato leaf yellow virus 0.0010 199 122 261 184
Tomato leaf yellow virus 0.0010 21 206 95 262
Tomato leaf yellow virus 0.0010 168 117 234 184
Tomato leaf yellow virus 0.0010 48 411 87 416
Tomato leaf yellow virus 0.0010 270 76 324 196
Tomato leaf yellow virus 0.0010 374 0 402 4
Tomato leaf yellow virus 0.0010 247 255 272 292
Tomato leaf yellow virus 0.0010 16 404 72 416
Tomato leaf yellow virus 0.0010 7 195 47 226
Tomato leaf yellow virus 0.0010 356 320 402 356
Tomato leaf yellow virus 0.0010 358 196 400 267
Tomato leaf yellow virus 0.0010 351 291 392 326
Tomato leaf yellow virus 0.0010 142 183 187 225
Tomato leaf yellow virus 0.0010 280 272 305 329
Tomato leaf yellow virus 0.0010 192 303 231 341
Tomato leaf yellow virus 0.0010 345 1 364 19
Tomato leaf yellow virus 0.0010 17 154 62 241
Tomato leaf yellow virus 0.0010 192 412 231 416
Tomato leaf yellow virus 0.0010 276 272 314 377
Tomato leaf yellow virus 0.0010 258 309 278 369
Tomato leaf yellow virus 0.0010 101 0 144 36
